Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
SVM,Silvercorp Metals Inc. Common Shares,$3.86,0.00,0.00%,835659888.00,Canada,,6458518,Basic Materials,Precious Metals
SVT,Servotronics Inc. Common Stock,$11.00,0.00,0.00%,28096596.00,United States,1970,12,Consumer Discretionary,Industrial Machinery/Components
SYNX,Silynxcom Ltd. Ordinary Shares,$3.7635,-0.0355,-0.934%,19758375.00,,2024,3280,Consumer Staples,Consumer Electronics/Appliances
TGB,Taseko Mines Ltd. Common Stock,$2.09,-0.01,-0.476%,627411730.00,Canada,,14793775,Basic Materials,Precious Metals
THM,International Tower Hill Mines Ltd. Ordinary Shares (Canada),$0.619,0.0407,7.038%,123610241.00,Canada,,560740,Basic Materials,Metal Mining
TIC,Acuren Corporation Common Stock,$12.11,0.11,0.917%,1471076964.00,,2025,33688,,
TMP,Tompkins Financial Corporation Common Stock,$65.65,-0.24,-0.364%,947622365.00,United States,1997,39862,Finance,Major Banks
TMQ,Trilogy Metals Inc. Common Stock,$1.28,-0.06,-4.478%,209844717.00,Canada,,125605,Basic Materials,Precious Metals
TOON,Kartoon Studios Inc. Common Stock,$0.633,-0.044,-6.499%,25047105.00,United States,,165468,Consumer Discretionary,Movies/Entertainment
TOPP,Toppoint Holdings Inc. Common Stock,$1.95,-0.01,-0.51%,34125000.00,,2025,7319,Industrials,Trucking Freight/Courier Services
TOPS,TOP Ships Inc. Common Stock,$6.05,0.04,0.666%,27988492.00,Greece,,5987,Consumer Discretionary,Marine Transportation
TOVX,Theriva Biologics Inc. Common Stock,$1.3502,-0.0598,-4.241%,3756863.00,United States,,38194,Health Care,Biotechnology: Pharmaceutical Preparations
TPET,Trio Petroleum Corp. Common Stock,$1.33,-0.02,-1.481%,8945184.00,,2023,141857,Energy,Oil & Gas Production
TRT,Trio-Tech International Common Stock,$6.10,0.01,0.164%,25934486.00,United States,1998,3170,Technology,Industrial Machinery/Components
TRX,TRX Gold Corporation Common Stock,$0.3095,0.0055,1.809%,86879730.00,Canada,,516936,Basic Materials,Precious Metals
UAMY,United States Antimony Corporation Common Stock,$1.44,0.03,2.128%,156152137.00,United States,,1539523,Industrials,Metal Fabrications
UAVS,AgEagle Aerial Systems Inc. Common Stock,$1.33,0.03,2.308%,6275350.00,United States,,210387,Industrials,Aerospace
UEC,Uranium Energy Corp. Common Stock,$4.99,-0.09,-1.772%,2111209694.00,Canada,,8928221,Basic Materials,Other Metals and Minerals
UMAC,Unusual Machines Inc. Common Stock,$6.17,0.44,7.679%,51213962.00,United States,2024,1176983,Technology,Radio And Television Broadcasting And Communications Equipment
URG,Ur Energy Inc Common Shares (Canada),$0.83,-0.0286,-3.331%,302203862.00,Canada,,4845602,Basic Materials,Precious Metals
