Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
GGN^B,GAMCO Global Gold Natural Reources & Income Trust 5.00% Series B Cumulative 25.00 Liquidation Preference,$20.76,-0.12,-0.575%,,United States,,35617,,
GLDG,GoldMining Inc. Common Shares,$0.8235,-0.0014,-0.17%,155415355.00,,,319510,Basic Materials,Precious Metals
GLO,Clough Global Opportunities Fund Common Stock,$4.98,-0.01,-0.20%,0.00,United States,2006,302349,Finance,Finance/Investors Services
GLQ,Clough Global Equity Fund Clough Global Equity Fund Common Shares of Beneficial Interest,$6.49,0.00,0.00%,0.00,United States,2005,65024,Finance,Finance/Investors Services
GLU,Gabelli Global Utility Common Shares of Beneficial Ownership,$16.12,0.4106,2.614%,96218845.00,United States,2004,13058,Finance,Finance/Investors Services
GLU^A,The Gabelli Global Utility and Income Trust Series A Cumulative Puttable and Callable Preferred Shares,$46.20,0.00,0.00%,,United States,,674,,
GLU^B,The Gabelli Global Utility and Income Trust Series B Cumulative Puttable and Callable Preferred Shares,$50.70,0.00,0.00%,,United States,,5,,
GLV,Clough Global Dividend and Income Fund Common Shares of beneficial interest,$5.41,-0.01,-0.185%,68758844.00,United States,2004,19478,Finance,Finance/Investors Services
GNS,Genius Group Limited Ordinary Shares,$0.34,0.00,0.00%,30600000.00,Singapore,2022,1084754,Consumer Discretionary,Services-Misc. Amusement & Recreation
GORO,Gold Resource Corporation Common Stock,$0.5225,-0.0775,-12.917%,49807286.00,United States,,9983750,Basic Materials,Precious Metals
GPUS,Hyperscale Data Inc. Common Stock,$2.75,-0.04,-1.434%,5944766.00,United States,1997,22780,Technology,Industrial Machinery/Components
GPUS^D,Hyperscale Data Inc. 13.00% Series D Cumulative Redeemable Perpetual Preferred Stock,$9.75,0.00,0.00%,,United States,,11401,,
GRAF,Graf Global Corp. Class A ordinary shares,$10.18,0.00,0.00%,0.00,,2024,3702,,
GRF,Eagle Capital Growth Fund Inc. Common Stock,$10.12,0.30,3.055%,0.00,United States,,3969,Finance,Finance/Investors Services
GRFX,Graphex Group Limited American Depositary Shares each American Depositary Share representing 20 Ordinary Shares,$0.21,0.0015,0.719%,163263849.00,,2022,29286,Energy,Industrial Machinery/Components
GRO,Brazil Potash Corp. Common Shares,$2.55,0.03,1.19%,103499316.00,,2024,100651,Industrials,Mining & Quarrying of Nonmetallic Minerals (No Fuels)
GROY,Gold Royalty Corp. Common Shares,$1.39,0.00,0.00%,235009270.00,Canada,2021,423610,Basic Materials,Precious Metals
GTE,Gran Tierra Energy Inc. Common Stock,$4.65,0.10,2.198%,142989053.00,Canada,,256026,Energy,Oil & Gas Production
HCWC,Healthy Choice Wellness Corp. Class A Common Stock,$0.55,0.02,3.774%,5398662.00,,2024,135279,Consumer Staples,Food Chains
HNW,Pioneer Diversified High Income Fund Inc.,$11.98,0.05,0.419%,0.00,United States,2007,17080,Finance,Finance/Investors Services
HUSA,Houston American Energy Corporation Common Stock,$1.05,0.03,2.941%,16470860.00,United States,,219400,Energy,Oil & Gas Production
HWM^,Howmet Aerospace Inc. $3.75 Preferred Stock,$69.7411,0.00,0.00%,,United States,,179,,
HYLN,Hyliion Holdings Corp. Class A Common Stock,$1.48,0.04,2.778%,258733858.00,United States,2019,1045847,Consumer Discretionary,Construction/Ag Equipment/Trucks
IAF,abrdn Australia Equity Fund Inc. Common Stock,$4.08,-0.04,-0.971%,0.00,United States,1985,46376,Finance,Finance/Investors Services
IAUX,i-80 Gold Corp. Common Shares,$0.6345,-0.0591,-8.521%,244216972.00,Canada,2022,8003916,Basic Materials,Precious Metals
IBO,Impact BioMedical Inc. Common Stock,$0.93,-0.28,-23.14%,10698678.00,,2024,41997,Health Care,Biotechnology: Pharmaceutical Preparations
IDR,Idaho Strategic Resources Inc. Common Stock,$11.34,0.06,0.532%,154917316.00,,2022,135258,Basic Materials,Precious Metals
IE,Ivanhoe Electric Inc. Common Stock,$5.78,-0.06,-1.027%,695371073.00,Canada,2022,746356,Basic Materials,Metal Mining
IGC,IGC Pharma Inc. Common Stock,$0.3064,0.0017,0.558%,24415535.00,United States,,337937,Health Care,Biotechnology: Pharmaceutical Preparations
IHT,InnSuites Hospitality Trust Shares of Beneficial Interest,$2.65,0.005,0.189%,23223235.00,United States,1999,6375,Finance,Investment Bankers/Brokers/Service
IMO,Imperial Oil Limited Common Stock,$68.68,3.55,5.451%,35947318040.00,Canada,1929,689570,Energy,Integrated oil Companies
INDO,Indonesia Energy Corporation Limited Ordinary Shares,$2.60,-0.02,-0.763%,26527004.00,,2019,91816,Energy,Oil & Gas Production
INFU,InfuSystems Holdings Inc. Common Stock,$6.11,-0.14,-2.24%,129920578.00,United States,,193461,Health Care,Medical/Dental Instruments
INLX,Intellinetics Inc. Common Stock,$11.6947,-0.0053,-0.045%,49478007.00,,2022,2073,Technology,Computer Software: Prepackaged Software
INTT,inTest Corporation Common Stock,$7.79,-0.33,-4.064%,96397939.00,United States,1997,125378,Industrials,Electrical Products
INUV,Inuvo Inc.,$0.38,-0.0004,-0.105%,54262284.00,United States,,502245,Consumer Discretionary,Advertising
IOR,Income Opportunity Realty Investors Inc. Common Stock,$16.95,0.00,0.00%,68921717.00,United States,1987,243,Real Estate,Real Estate Investment Trusts
ITP,IT Tech Packaging Inc. Common Stock,$0.342,-0.014,-3.933%,3442545.00,China,,346813,Consumer Discretionary,Containers/Packaging
ITRG,Integra Resources Corp. Common Shares,$1.10,0.015,1.382%,185428883.00,,,215628,Basic Materials,Precious Metals
JOB,GEE Group Inc. Common Stock,$0.2206,-0.0044,-1.956%,24136562.00,United States,1968,270230,Consumer Discretionary,Diversified Commercial Services
KAPA,Kairos Pharma Ltd. Common Stock,$1.02,-0.02,-1.923%,13103721.00,,2024,91184,Health Care,Biotechnology: Pharmaceutical Preparations
KNW,Know Labs Inc. Common Stock,$2.24,0.03,1.357%,242139377.00,,,254534,Industrials,Industrial Machinery/Components
KULR,KULR Technology Group Inc. Common Stock,$1.23,0.06,5.128%,263500204.00,United States,,6590568,Technology,Electrical Products
LCTX,Lineage Cell Therapeutics Inc. Common Stock,$0.5253,-0.0047,-0.887%,99196273.00,United States,,853760,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
LEGT,Legato Merger Corp. III Ordinary Shares,$10.41,0.01,0.096%,0.00,,2024,49960,,
LEU,Centrus Energy Corp. Class A Common Stock,$79.81,0.09,0.113%,1338023908.00,United States,2014,570185,Industrials,Mining & Quarrying of Nonmetallic Minerals (No Fuels)
LGCY,Legacy Education Inc. Common Stock,$7.05,0.33,4.911%,87282927.00,,2024,51240,Real Estate,Other Consumer Services
LGL,LGL Group Inc. (The) Common Stock,$6.51,-0.26,-3.84%,34978588.00,United States,1946,344,Technology,Industrial Machinery/Components
LODE,Comstock Inc. Common Stock,$2.59,-0.05,-1.894%,61558027.00,United States,,642837,Industrials,Major Chemicals
LPA,Logistic Properties of the Americas Ordinary Shares,$9.64,0.20,2.119%,305681961.00,,2024,7386,Finance,Real Estate
LSF,Laird Superfood Inc. Common Stock,$5.76,0.24,4.348%,59325039.00,,2020,114333,Consumer Staples,Packaged Foods
LUD,Luda Technology Group Limited Ordinary Shares,$4.13,0.01,0.243%,0.00,,2025,37835,,
LXFR,Luxfer Holdings PLC Ordinary Shares,$12.14,0.04,0.331%,324648778.00,United Kingdom,2012,111706,Industrials,Major Chemicals
MAG,MAG Silver Corporation Ordinary Shares,$14.95,-0.09,-0.598%,1542505344.00,Canada,,554541,Basic Materials,Precious Metals
MAIA,MAIA Biotechnology Inc. Common Stock,$1.65,-0.07,-4.07%,41797914.00,,2022,112948,Health Care,Biotechnology: Pharmaceutical Preparations
MCRP,Micropolis Holding Company,$3.55,3.55,,0.00,,,654012,,
MGLD,The Marygold Companies Inc. Common Stock,$0.9855,0.0047,0.479%,41531120.00,,2022,21862,Finance,Finance: Consumer Services
MHH,Mastech Digital Inc Common Stock,$10.10,-0.01,-0.099%,118230327.00,United States,,9510,Consumer Discretionary,Professional Services
MI,NFT Limited Class A Ordinary Share,$2.0922,-0.0412,-1.931%,6464915.00,,2023,3629,Consumer Discretionary,Other Specialty Stores
MITQ,Moving iMage Technologies Inc. Common Stock,$0.5301,0.00,0.00%,5246320.00,United States,2021,22500,Consumer Discretionary,Industrial Machinery/Components
MLSS,Milestone Scientific Inc. Common Stock,$1.09,0.07,6.863%,84902370.00,United States,2015,151145,Health Care,Industrial Specialties
MMA,Mixed Martial Arts Group Limited Ordinary Shares,$0.80,0.19,31.148%,8226149.00,,2024,91297,Consumer Discretionary,Other Consumer Services
MPTI,M-tron Industries Inc. Common Stock,$44.71,0.51,1.154%,130158187.00,,2022,34820,Technology,Industrial Machinery/Components
MPU,Mega Matrix Inc. Class A Ordinary Shares,$0.6467,-0.0033,-0.508%,24931465.00,United States,1998,71154,Consumer Discretionary,Diversified Commercial Services
MRT,Marti Technologies Inc. Class A Ordinary Shares,$3.48,0.33,10.476%,198485607.00,,2021,40022,Consumer Discretionary,Rental/Leasing Companies
MSN,Emerson Radio Corporation Common Stock,$0.4392,0.0001,0.023%,9241933.00,United States,1994,14753,Consumer Staples,Consumer Electronics/Appliances
MTA,Metalla Royalty & Streaming Ltd. Common Shares,$2.73,-0.05,-1.799%,250714936.00,,,295004,Basic Materials,Precious Metals
MTNB,Matinas Biopharma Holdings Inc. Common Stock,$0.552,-0.014,-2.473%,2808016.00,United States,2017,20278,Health Care,Biotechnology: Pharmaceutical Preparations
MWG,Multi Ways Holdings Limited Ordinary Shares,$0.3031,0.0019,0.631%,9347604.00,,2023,5889,Consumer Discretionary,Miscellaneous manufacturing industries
MXC,Mexco Energy Corporation Common Stock,$9.99,0.21,2.147%,20439540.00,United States,2003,4446,Energy,Oil & Gas Production
MYND,Mynd.ai Inc. American Depositary Shares,$1.15,0.00,0.00%,52494949.00,,2017,11028,Real Estate,Other Consumer Services
MYO,Myomo Inc. Common Stock,$4.60,0.17,3.837%,139131002.00,United States,2017,370418,Health Care,Industrial Specialties
NAK,Northern Dynasty Minerals Ltd. Common Stock,$0.7323,-0.0018,-0.245%,393797460.00,Canada,,4354789,Basic Materials,Precious Metals
NBH,Neuberger Berman Municipal Fund Inc. Common Stock,$10.48,-0.09,-0.851%,0.00,United States,2002,81732,Finance,Finance/Investors Services
NBY,NovaBay Pharmaceuticals Inc. Common Stock,$0.60,0.0115,1.954%,2931416.00,United States,2007,59591,Health Care,Biotechnology: Pharmaceutical Preparations
NCL,Northann Corp. Common Stock,$0.201,-0.0028,-1.374%,6907244.00,,2023,302484,Industrials,Plastic Products
NEN,New England Realty Associates Limited Partnership Class A Depositary Receipts Evidencing Units of Limited Partnership,$77.01,0.00,0.00%,8897119.00,United States,,77,Real Estate,Building operators
NEWP,New Pacific Metals Corp. Common Shares,$1.08,-0.02,-1.818%,184965787.00,Canada,2021,217551,Basic Materials,Precious Metals
NFGC,New Found Gold Corp Common Shares,$1.74,-0.07,-3.867%,345978835.00,,2021,657423,Basic Materials,Precious Metals
NG,Novagold Resources Inc.,$3.57,0.23,6.886%,1194404858.00,Canada,2003,3428133,Basic Materials,Precious Metals
NGD,New Gold Inc.,$2.90,0.08,2.837%,2292740000.00,Canada,,23506428,Basic Materials,Metal Mining
NHC,National HealthCare Corporation Common Stock,$92.83,-1.10,-1.171%,1433783579.00,United States,1986,53173,Health Care,Hospital/Nursing Management
NHS,Neuberger Berman High Yield Strategies Fund,$7.93,0.04,0.507%,0.00,United States,,113262,Finance,Trusts Except Educational Religious and Charitable
NML,Neuberger Berman Energy Infrastructure and Income Fund Inc. Common Stock,$8.50,0.10,1.19%,0.00,United States,2013,133345,Finance,Finance/Investors Services
NNVC,NanoViricides Inc. Common Stock,$1.27,-0.05,-3.788%,19864070.00,United States,,250343,Health Care,Biotechnology: Pharmaceutical Preparations
NRO,Neuberger Berman Real Estate Securities Income Fund Inc.,$3.28,-0.01,-0.304%,0.00,United States,2003,254919,Finance,Finance/Investors Services
NRXS,Neuraxis Inc. Common Stock,$2.19,0.09,4.286%,15286697.00,,2023,23457,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus
NTIP,Network-1 Technologies Inc. Common Stock,$1.355,0.005,0.37%,31139622.00,United States,,5585,Miscellaneous,Multi-Sector Companies
OBE,Obsidian Energy Ltd. Common Shares,$5.06,0.15,3.055%,380785321.00,Canada,2022,437199,Energy,Oil & Gas Production
OGEN,Oragenics Inc. Common Stock,$0.284,0.0067,2.416%,3468401.00,United States,,484655,Health Care,Biotechnology: Pharmaceutical Preparations
OPHC,OptimumBank Holdings Inc. Common Stock,$4.35,0.07,1.636%,51117207.00,United States,,18607,Finance,Major Banks
OPP^C,RiverNorth/DoubleLine Strategic Opportunity Fund Inc. 6.00% Series C Term Preferred Stock (Liquidation Preference $10.00 per share),$10.1501,0.00,0.00%,,United States,,13,,
OPTT,Ocean Power Technologies Inc. Common Stock,$0.5012,-0.004,-0.792%,73194606.00,United States,2007,3726089,Utilities,Electric Utilities: Central
ORLA,Orla Mining Ltd. Common Shares,$7.54,0.25,3.429%,2414721871.00,,2020,882225,Basic Materials,Precious Metals
OSTX,OS Therapies Incorporated Common Stock,$1.60,-0.08,-4.762%,33981405.00,,2024,244029,Health Care,Biotechnology: Pharmaceutical Preparations
OZ,Belpointe PREP LLC Class A Units,$73.00,5.29,7.813%,273537789.00,,,20529,Real Estate,Real Estate Investment Trusts
PAPL,Pineapple Financial Inc. Common Stock,$0.37,0.01,2.778%,3258967.00,,2023,50524,Finance,Finance: Consumer Services
PCG^A,Pacific Gas & Electric Co. 6% Preferred Stock,$22.86,-0.2601,-1.125%,,United States,,6491,,
PCG^B,Pacific Gas & Electric Co. 5 1/2% Preferred Stock,$20.395,0.175,0.865%,,United States,,156,,
PCG^C,Pacific Gas & Electric Co. 5% 1st Preferred Stock,$19.0471,0.00,0.00%,,United States,,67,,
PCG^D,Pacific Gas & Electric Co. 5% 1st  Red. Preferred Stock,$18.1498,0.1498,0.832%,,United States,,831,,
PCG^E,Pacific Gas & Electric Co. 5% 1st A Preferred Stock,$18.00,-0.2189,-1.201%,,United States,,202,,
